ASIN,FBA_Cost,NARF_Cost
B006CV65R8,97.3408,85.71
B006CV6W6M,100.4822,88.49
B006K40R1C,91.058,80.15
B006K424RM,80.0631,70.42
B006K42U7G,72.2096,63.47
B006K42UPS,76.9217,67.64
B009QYOOUI,50.2198,44.01
B009QYOPAW,56.5026,49.57
B009QYOXUE,51.7905,45.4
B009QYQ2T4,53.3612,46.79
B009QYQ32A,54.9319,48.18
B009QYQ3A2,56.5026,49.57
B009QYQ4ZQ,50.2198,44.01
B009QYQ56E,50.2198,44.01
B00FZYFPME,75.351,66.25
B00FZYFPNI,78.4924,69.03
B00FZYFPP6,73.7803,64.86
B00I4JHYLW,75.351,66.25
B00I4JHYPI,78.4924,69.03
B00I4JHYQC,76.9217,67.64
B00I4JI2A4,73.7803,64.86
B00I8CWQH2,56.5026,49.57
B00IS8RSG0,76.9217,67.64
B00IS8RTMS,78.4924,69.03
B00IS8RX1A,76.9217,67.64
B00KQG9RKW,65.9268,57.91
B00KR9CU8E,78.4924,69.03
B00KR9CWV4,84.7752,74.59
B00KR9CZMA,81.6338,71.81
B00KR9D0VK,76.9217,67.64
B00KR9D204,84.7752,74.59
B00KRWCACM,76.9217,67.64
B00LN0D3VE,35.6248,27.33
B00LN0DEIG,35.6248,27.33
B00NB2GI3M,76.9217,67.64
B00O1LLEIG,35.6248,27.33
B00O1S1DTY,50.2198,44.01
B00O1S1HUE,53.3612,46.79
B00O1S1L64,54.9319,48.18
B00O1S1OFW,56.5026,49.57
B00O1S26GS,81.6338,71.81
B00O1S27SA,56.5026,49.57
B00O1S29MO,84.7752,74.59
B00O1S2B54,50.2198,44.01
B00O1S2EGA,59.644,52.35
B00O1S2G1S,81.6338,71.81
B00O1S2KGY,84.7752,74.59
B00O1S2PE6,50.2198,44.01
B00O1S2U0K,50.2198,44.01
B00O1S2XEI,53.3612,46.79
B00O1S30HW,53.3612,46.79
B00O1S34L4,56.5026,49.57
B00O1S3B6W,59.644,52.35
B00O1S3EF0,59.644,52.35
B00PAZDYEO,81.6338,71.81
B00PAZDYFI,87.9166,77.37
B00PAZW8LY,81.6338,71.81
B00PFED47M,147.6032,130.19
B00PM9XRZ4,158.5981,139.92
B00RDZGKVS,56.5026,49.57
B00RDZGKY0,56.5026,49.57
B00RDZGKYK,59.644,52.35
B00RDZGKZO,59.644,52.35
B00RDZGL1C,61.2147,53.74
B00RDZGLBC,56.5026,49.57
B00TU4PV10,53.3612,46.79
B00TU4PV1K,53.3612,46.79
B00TU4PV2Y,50.2198,44.01
