ASIN,FBA_Cost_USD,NARF_Cost_USD
B006CV65R8,70.42,74.71
B006CV6W6M,72.68,76.50
B006K40R1C,65.9,69.91
B006K424RM,57.99,61.51
B006K42U7G,52.34,55.47
B006K42UPS,55.73,59.06
B009QYOOUI,36.52,38.42
B009QYOPAW,41.04,43.18
B009QYOXUE,37.65,39.61
B009QYQ2T4,38.78,40.80
B009QYQ32A,39.91,41.99
B009QYQ3A2,41.04,43.18
B009QYQ4ZQ,36.52,38.42
B009QYQ56E,36.52,38.42
B00FZYFPME,54.6,57.87
B00FZYFPNI,56.86,60.26
B00FZYFPP6,53.47,56.67
B00I4JHYLW,54.6,57.87
B00I4JHYPI,56.86,60.26
B00I4JHYQC,55.73,59.06
B00I4JI2A4,53.47,56.67
B00I8CWQH2,41.04,43.18
B00IS8RSG0,55.73,59.06
B00IS8RTMS,56.86,60.26
B00IS8RX1A,55.73,59.06
B00KQG9RKW,47.82,50.67
B00KR9CU8E,56.86,60.31
B00KR9CWV4,61.38,65.11
B00KR9CZMA,59.12,62.71
B00KR9D0VK,55.73,59.11
B00KR9D204,61.38,65.11
B00KRWCACM,55.73,59.06
B00LN0D3VE,26.02,24.14
B00LN0DEIG,26.02,24.14
B00NB2GI3M,55.73,59.06
B00O1LLEIG,26.02,24.14
B00O1S1DTY,36.52,38.42
B00O1S1HUE,38.78,40.80
B00O1S1L64,39.91,41.99
B00O1S1OFW,41.04,43.18
B00O1S26GS,59.12,62.71
B00O1S27SA,41.04,43.18
B00O1S29MO,61.38,65.11
B00O1S2B54,36.52,38.42
B00O1S2EGA,43.3,45.56
B00O1S2G1S,59.12,62.71
B00O1S2KGY,61.38,65.11
B00O1S2PE6,36.52,38.42
B00O1S2U0K,36.52,38.42
B00O1S2XEI,38.78,40.80
B00O1S30HW,38.78,40.80
B00O1S34L4,41.04,43.18
B00O1S3B6W,43.3,45.56
B00O1S3EF0,43.3,45.56
B00PAZDYEO,59.12,62.66
B00PAZDYFI,63.64,67.46
B00PAZW8LY,59.12,62.66
B00PFED47M,106.58,113.11
B00PM9XRZ4,114.49,120.53
B00RDZGKVS,41.04,43.18
B00RDZGKY0,41.04,43.18
B00RDZGKYK,43.3,45.56
B00RDZGKZO,43.3,45.56
B00RDZGL1C,44.43,46.75
B00RDZGLBC,41.04,43.18
B00TU4PV10,38.78,41.08
B00TU4PV1K,38.78,41.08
B00TU4PV2Y,36.52,38.68
B00TU4PV3I,36.52,38.68
B00TU4PV4M,36.52,38.68
B00TU4PV4W,38.78,41.08
B00TU4PV88,36.52,38.68
B00TU4PVAG,38.78,41.08
B00TU4PVAQ,36.52,38.68
B00XRG0EOG,65.9,69.91
B0156TBCW4,63.64,67.46
B0156TBCWE,62.51,66.26
B0156TBD1O,62.51,66.26
B0156TBD82,63.64,67.46
B0156TBD9G,63.64,67.46
B0156TBDDW,59.12,62.66
B0156V175Y,62.51,66.26
B0156V17AE,62.51,66.26
B0156V17AO,59.12,62.66
B0156V17AY,59.12,62.66
B0156V17CM,63.64,67.46
B0156V17DQ,62.51,66.26
B0156V17EU,62.51,66.26
B0156V17FE,59.12,62.66
B0156V17G8,63.64,67.46
B0156V17H2,63.64,67.46
B0156V17JU,63.64,67.46
B0156V17L8,59.12,62.66
B017BN6098,47.82,50.67
B018KKG9WO,52.34,55.47
B018KKGCJE,55.73,59.06
B018KLBXC4,52.34,55.47
B018RRES2I,55.73,59.11
B01AVT0KKY,39.91,41.99
B01AVT0LPI,38.78,40.80
B01B6ESTHY,44.43,46.75
